id,name,businessUrl,categoryId,categoryName
102586,Clothingshoponline-US-KLWL7,https://www.clothingshoponline.com,126,Apparel & Accessories
126711,CNW-DE-KLFLEX,https://www.c-nw.de,2693,Health & Beauty
98180,CocoonCenter-FR-KLWL2,https://www.cocooncenter.com,3039,Home & Garden
97564,Collisoligoshop-IT-KLFIX,https://wwwcollisoligoshop.com,2050,Furniture
109813,comfortfresh-US-KLFIX,https://comfort-fresh.com,4074,Luggage & Bags
97574,Comfymed-RO-KLFIX,https://wwwcomfymed.ro,2693,Health & Beauty
109808,commomy-US-KLFIX,https://commomy.com,4074,Luggage & Bags
97566,Compralo-IT-KLFIX,https://wwwcompralo.eu,2050,Furniture
96199,Compralosubito24-IT-KLTESTED,https://www.compralosubito24.it,5353,Vehicles & Parts
102581,Compressionsale-US-KLWL7,https://www.compressionsale.com,126,Apparel & Accessories
109342,Condizionati-AT-KLFIX,https://www.condizionati.at,4074,Luggage & Bags
101812,Containerstore-US-KLWL6,https://www.containerstore.com,4074,Luggage & Bags
126713,convertiblecenter-FR-KLFLEX,https://www.convertiblecenter.fr,2693,Health & Beauty
109613,coolwick-US-KLFIX,https://www.coolwick.com,4074,Luggage & Bags
101872,Corsair-US-KLTESTED,https://www.corsair.com,3039,Home & Garden
126477,corsair-US-klwl3,https://www.corsair.com,2693,Health & Beauty
96344,COS-US-KLWL1,https://www.cos.com,126,Apparel & Accessories
98179,Cos-US-KLWL2,https://www.cos.com,126,Apparel & Accessories
101839,COS-US-KLWL6,https://www.cos.com,126,Apparel & Accessories
127069,courir-FR-KLFIX,https://www.courir.com,2693,Health & Beauty
127070,courir-FR-KLFIX,https://www.courir.com,2693,Health & Beauty
105356,Courir-FR-KLFIX,https://www.courir.com,126,Apparel & Accessories
95795,Courir-FR-KLTESTED,https://www.courir.com,126,Apparel & Accessories
101853,Courir-FR-KLTESTED,https://www.courir.com,3039,Home & Garden
97893,Courir-NL-KLFIX,https://www.courir.nl,126,Apparel & Accessories
101787,Coursera-CA-KLTESTED,https://www.coursera.org,5179,Toys & Games
109798,covesmart-US-KLFIX,https://www.covesmart.com/,4074,Luggage & Bags
109717,crealityfalcon-US-KLFIX,https://www.crealityfalcon.com,4074,Luggage & Bags
124914,creditkarma-US-ADX,https://www.creditkarma.com,2693,Health & Beauty
102538,Cremedelamer-US-KLWL7,https://www.cremedelamer.com,3039,Home & Garden
102529,Crocs-US-KLWL7,https://www.crocs.com,2050,Furniture
97883,CsjEmballages-FR-KLFIX,https://www.csj-emballages.com,940,Business & Industrial
109795,cuckooamerica-US-KLFIX,http://cuckooamerica.com/,4074,Luggage & Bags
95892,Cuida-PT-KLFIX,https://www.cuida.pt,2693,Health & Beauty
109582,cupshe-US-KLFIX,https://ca.cupshe.com,4074,Luggage & Bags
95858,Curaenatura-IT-KLFIX,https://www.curaenatura.com,2693,Health & Beauty
109697,curlyme-US-KLFIX,https://curlyme.com,4074,Luggage & Bags
101771,Currys-UK-KLTESTED,https://www.currys.co.uk,1268,Electronics
101821,Cutschool-US-KLFIX,https://www.outschool.com,853,Baby & Toddler
95812,Cyberphoto-SE-KLFIX,https://www.cyberphoto.se,2171,Hardware
109853,dadabc-US-KLFIX,https://www.dadabc.com/,4074,Luggage & Bags
109567,dadgrass-US-KLFIX,https://www.dadgrass.com,4074,Luggage & Bags
95930,Dadoshop-IT-KLFIX,https://www.dadoshop.it,1164,Cameras & Optics
